species_guid,record_guid,scientific_name,host_range,potential_eco_desc,description,management_info,remark,reference_id,reference_name,page,author,created_time,editor,update_time,id
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,a93a9ea4-ae68-40ed-9332-ea0b2bea7924,Athelia rolfsii,,,,,Economic Importance: Moderate^pDistribution: Worldwide^pSeedborne Incidence: Low^pSeed Transmitted: No^pSeed Treatment: Yes	,7000,CPC2006,,CPC2006,2008-07-10 17:56:15.960,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,017e7730-7dfa-4ccb-98fd-d4c4b3343b71,Athelia rolfsii,,,,"Cultural Control and Sanitary Methods^p^pCrop rotation has a strong influence on survival of C. rolfsii. Populations of viable sclerotia were highest in soil in a field in which tomatoes were planted for 3 successive years before sampling and in one in which tomatoes followed groundnut in the 2 years prior to the study. Lowest sclerotial numbers were recorded in fields in which groundnut followed maize or in which maize or sorghum was the last crop before sampling (Chima Wokocha, 1988). In another study, no sclerotia were detected in fields under maize which had been under groundnut the previous year, while 3.33 sclerotia/250 ml soil were found in groundnut fields which had been under maize the previous year (Rodriguez Kabana et al., 1974). Other crop rotation studies on groundnut have shown that the incidence of C. rolfsii infection was lower in rotation with crops such as cotton or soyabean than in goundnut monoculture (Rodriguez Kabana, 1991a, b).^p^pIn pot experiments, reduction in pre- and post-emergence death of seedlings infected by C. rolfsii was given by amendments of safflower oil cake and sunn hemp, which also increased the activity of antagonistic microorganisms (Kulkarni et al., 1995). Oat straw, castor cake and neem cake consistently reduced the disease incidence of sclerotium wilt of sunflower in soil infested with C. rolfsii. Castor cake and oat straw inhibited the formation of sclerotia in soil, while rice husk and sawdust stimulated sclerotial formation (Gautam and Kolte, 1979).^p^pIn a 2-year field experiment in India, application of nitrogen significantly controlled the disease and increased root yields of beet (Thakur and Mukhopadhyay, 1972). Covering soil with polyethylene sheets controlled C. rolfsii in Phaseolus vulgaris by 71-100% in Mexico (Esqueda Valle and Zenteno Zevada, 1991). The use of black plastic mulch also reduced the severity of the disease on bell peppers (Brown et al., 1989) and in tomato (Tu et al., 1991). Piper betle cuttings planted in plots after 5 days' solarization were free from collar rot caused by C. rolfsii (Deshpande and Tiwari, 1991). Solarization for a 6-week period during the warmest months of the summer between a spring- and autumn-grown vegetable crop could provide an additional management alternative for southern blight of tomatoes in the coastal plains of North Carolina (Ristaino et al., 1991).^p^p^Host-Plant Resistance^p^pConsiderable work has been done on screening genotypes and cultivars of a range of crops for resistance to C. rolfsii. Resistance to C. rolfsii has been described for cultivars of alfalfa (Inami, 1988), groundnut (Branch, 1994), sweet potato (Jones et al., 1983) and tomato (Leeper et al., 1992). Other crops in which resistant lines have been detected include sugarbeet (Coe and O'Neill, 1983), cowpea (Nwakpa and Ikotun, 1988), finger millet (Eleusine coracana) (Tabosa et al., 1989), rice (Mathur, 1973) and wheat (Mishra et al., 1992). ^p^p^Chemical Control^p^pControl of C. rolfsii has been obtained on several crops by fungicide applications, as foliar sprays, soil drenches or seed treatment. Successful control by spray applications has been reported for tebuconazole on groundnut (Grichar, 1995) and captafol on Piper betle (Dhara et al., 1989). Quintozene, chloroneb and tridemorph applied as soil drenches gave good control of sugarbeet infection in field plots inoculated with sclerotia of C. rolfsii (Sharma et al., 1990). Other effective soil drenches include carboxin on sweet potato (Sivaprakasam and Kandaswamy, 1983) and benodanil on wheat (Hagan et al., 1991). Granular application of quintozene or flutolanil to soil controlled the disease in groundnut (Hagan et al., 1991). The insecticide chloropyrifos reduced stem rot by C. rolfsii by 17% in groundnut (Kucharek and Edmondson, 1991).^p^pFungicide seed treatments are effective for control of C. rolfsii diseases on several crops. The most commonly cited fungicides include captan (Fahim et al., 19",,7000,CPC2006,,CPC2006,2008-07-10 16:38:00.000,,,
6fc59a9e-a026-48af-8db8-4ae1f4207aa2,6353d368-0b40-48f1-a123-cc8154663002,Athelia rolfsii,,降成产量和品质。（茶叶上）：茶苗受害后常整株枯萎，叶片脱落。发生严重时，植株成片枯死，造成缺苗和断行，影响新茶园的发展。,,,,3217,中国农作物病虫害(下),,,2006-07-19 11:18:00.000,,,
e0acc296-70cd-4a76-8279-45fa5eef0e77,29167617-855e-4675-8a4e-69963982bc09,Stagonosporopsis ligulicola,"The principal hosts of D. ligulicola are florists' chrysanthemums (Dendranthema spp.), mainly D. morifolium. Endives, Dahlia pinnata, globe artichokes, lettuces, Rudbeckia hirta, sunflowers and Zinnia elegans can be infected by artificial inoculation (Pun","The disease was recorded in North Carolina, USA, in 1904, and remained localized and of little importance until the late 1940s when, concurrent with the intensification of chrysanthemum flower and pot plant production, it began to cause serious losses throughout the range. It is now considered the most serious fungal disease of chrysanthemums in Florida. In 1975, in Connecticut, the disease was reported to be particularly important on chrysanthemum cuttings in propagating benches under mist; 50% losses occurred.^p^pThe increasing intensification of chrysanthemum production, with all-the-year-round cultivars, mist benches, use of dark covers, etc., favours spread and development of the disease. In addition, the fungus can develop under a wide range of conditions and, once established, is both difficult and costly to eradicate. The fact that the disease is recorded in California shows that it will persist even in areas with apparently unfavourable climatic conditions.	",,,,7000,CPC2006,,CPC2006,2008-07-11 10:54:00.000,,,
e0acc296-70cd-4a76-8279-45fa5eef0e77,393fbac4-2584-4984-8443-b0630d3a1be1,Stagonosporopsis ligulicola,,,"D. ligulicola has a relatively low dispersal potential on its own, but can be transmitted by infected cuttings, plants and flowers of chrysanthemums. Earth attached to roots can also be a source of inoculum.Plant parts liable to carry the pest in trade/transport - Bulbs/Tubers/Corms/Rhizomes: Spores, Hyphae, Fruit Bodies; borne internally; borne externally; visible under light microscope.^p - Growing Medium Accompanying Plants: Spores, Hyphae, Fruit Bodies; borne internally; borne externally; invisible.^p - Flowers/Inflorescences/Cones/Calyx: Spores, Hyphae, Fruit Bodies; borne internally; borne externally; visible under light microscope.^p - Leaves: Spores, Hyphae, Fruit Bodies; borne internally; borne externally; visible under light microscope.^p - Roots: Spores, Hyphae, Fruit Bodies; borne internally; borne externally; visible under light microscope.^p - Stems (above Ground)/Shoots/Trunks/Branches: Spores, Hyphae, Fruit Bodies; borne internally; borne externally; visible under light microscope.Plant parts not known to carry the pest in trade/transport - Fruits (inc. Pods)^p - True Seeds (inc. Grain).	",,,7000,CPC2006,,CPC2006,2008-07-10 18:38:00.000,,,
e0acc296-70cd-4a76-8279-45fa5eef0e77,ed594124-9b0f-485a-bfc8-eb2db3f13268,Stagonosporopsis ligulicola,,,,,"D. ligulicola is an A2 quarantine pest for EPPO (OEPP/EPPO, 1982); it also has A2 quarantine status for IAPSC. In the EPPO region at present, ray blight is of significant economic importance in countries where it occurs. Widespread establishment of the disease within the EPPO region could cause considerable economic losses to propagators and growers of chrysanthemums. Some countries (Finland) maintain an eradication programme. Only chrysanthemum plants for planting are concerned. In countries where the disease occurs, growing-season inspections should be carried out, especially during rooting of cuttings, but also on mother plants and at flowering. Rooted or unrooted cuttings should come from rooting beds or plants, respectively, which were found free from D. ligulicula during the last growing season (OEPP/EPPO, 1990). ^p^pSymptoms may develop in transit on blooms which are apparently healthy when cut.",7000,CPC2006,,CPC2006,2008-07-10 17:56:15.960,,,
e0acc296-70cd-4a76-8279-45fa5eef0e77,3918f4f7-5e84-4fb0-9c5b-a3b030910008,Stagonosporopsis ligulicola,,,,"In Europe, the disease has been controlled successfully with benomyl. However, the repeated and excessive usage of this fungicide over a number of years has led to resistance build-up and a consequent increase in ray blight importance (Grouet, 1974). More recently dicarboximide derivates have been successfully used for control (Engelhard, 1984).^p^pCurrently there is no biological control method available. However, certain cultivation and phytosanitary requirements can reduce infection by D. ligulicola, especially during the rooting of cuttings (Hahn and Schmatz, 1980).",,7000,CPC2006,,CPC2006,2008-07-10 16:38:00.000,,,
e0acc296-70cd-4a76-8279-45fa5eef0e77,ab33b3e2-b57e-4412-9e2d-23511657188b,Stagonosporopsis ligulicola,,此病首次记录是1904年在美国北卡罗莱那州，到1940年末由于菊花的大量种植，此病的影响开始严重。现在是佛罗里达州菊花上的首要病害。可引致50％的损失。由于菊花的大规模生产，所采取的全年种植，喷雾等措施有利于病害的发展，且病菌的适生性很强，一旦定殖，很难消灭。,,,,448,Quarantine Pests for Europe,,,2006-07-19 11:18:00.000,,,
e0acc296-70cd-4a76-8279-45fa5eef0e77,9cf18f78-ee5d-461c-9b4e-4590efc694a4,Stagonosporopsis ligulicola,,危害严重。,,,,1652,CMI Distribution Map of Plant Diseases,,,2006-07-19 11:18:00.000,,,
e0acc296-70cd-4a76-8279-45fa5eef0e77,8f006b73-93c3-41ae-9869-8eb835d659ca,Stagonosporopsis ligulicola,,在田间病组织上产生大量针头状的分生孢子器，尤其花瓣上更多。初呈琥珀色，后成熟变黑色，很易发现。由于病原菌丝体在叶片组织内的穿透或分生孢子释放时产生的胶状物，常使叶片卷曲，在适宜条件下，此病迅速流行，有的品种几天内可全部毁灭，重病区菊花很少收获。有时刚采下的花不显任何病状，但在运输销售过程中引起大量花瓣脱落、腐烂，以致完全失去观赏价值。,"菊花疫病是stevens, F.L.于1904年在美国北卡罗来纳州首先发现并报道的。由于此病主要侵害花部，因此对菊花生产具有很大的危害性。但在此后很长一段时间内，在美国其余各州及其他国家均未发现，直到1932年在密西西比州发生此病，随后在马里兰（1947），佛罗里达（1954），纽约（1956）也相继报道。日本（1952）也发生了菊花疫病。从1904年后40多年中，北卡罗来纳州主要是从外地调入菊花种植材料，后来随着菊花生产的发展，大量的种植材料、切花才从北卡来纳州调运、销售到其他国家与地区。显然菊花疫病也随着病区带菌的种植材料和切花而外传。1959年英格兰南部地区在从美国引进的菊花上发生此病，德国也是在从美国、荷兰、丹麦引进的插条上发生，捷克斯洛伐克1967年10月从荷兰引进菊花插条时带入此病。我国迄今未发现此病。",,,1866,一种危险性病害——菊花疫病,298-301,mayouxin,,,,
e0acc296-70cd-4a76-8279-45fa5eef0e77,18b32ca0-30c3-4b81-9ccb-b0f8bcaba410,Stagonosporopsis ligulicola,,,"在病区内主要由病株残体上的子囊孢子通过气流传播先侵染花部，在发病季节，大量分生孢子通过雨水飞溅传播，栽种密集时，可通过相互接触直接传播到附近植株上。另外露水、雾滴、携带分生孢子的昆虫、气流也起一定传播作用。
远距离传播主要是通过带菌的插条、切花、种子的调运。",,,1866,一种危险性病害——菊花疫病,298-301,mayouxin,,,,
e0acc296-70cd-4a76-8279-45fa5eef0e77,ed4767e0-dc26-4088-8aa8-babfc1ecabf3,Stagonosporopsis ligulicola,,,,此病是菊花生产上的一个重要病害，尤其在欧洲各菊花产区。因病菌在整个菊花生长季节都表现很强的生活力与致病性，因此一般措施难以控制此病的发生。病菌一旦立足，就很难将其根除。1962年联邦德国颁布的植物检疫条令，就规定菊花疫病为检疫对象，1972年民主德国将之列为内检对象，以防止病害的进一步扩散。此病也是苏联、挪威的检疫对象。一旦发现病区，应将病区内的病株全部烧毁或腐烂，并对曾栽种过发病菊花苗的土壤进行严格消毒，可用三氯硝基甲烷（氯化苦）或蒸气灭菌处理。,,1866,一种危险性病害——菊花疫病,298-301,mayouxin,,,,
d7815b53-c892-4409-9465-29ae2f0e7703,35eb6eaf-bd80-4c35-9d9c-964dc9405394,Solanum torvum,,"刺茄为多刺的灌木，常分布于热带和亚热带地区，耐干旱，在温暖湿润的肥沃条件下生长最好，生境包括：灌木林、森林空旷地，岩石山坡，牧场，沼泽，路边，废弃地等。高1~3m，有时可达5m，传入美国佛罗里达州后，在牧场形成密集灌木丛。植株具刺，易形成密集的单一物种，侵占林地、牧场，影响生态环境和林木业生产。
刺茄是美国有害杂草。目前已普遍定植在毛伊岛（夏威夷群岛中的第二大岛），主要归化于牧场和农业区低洼的干扰地，在夏威夷州发现它是地中海实蝇的寄主之一。
该物种的根和叶片产生3-氨基螺旋甾碱烷组（3-amino-spirosolane group）的类固醇生物碱。叶片、果实和根的主要成分为非生物碱以及生物碱和皂苷。根含圆锥茄次碱（jurubidine），是一种3-氨基螺旋甾碱烷（3-amino-spirosolane）的生物碱。在印度将其成熟果实作为蔬菜食用。在加纳它的果实用于做汤和炖煮。在印度和缅甸等国家种植，将其浆果用作调味，在斯里兰卡种子已被用于制作咖喱粉。在印度刺茄可以单独或其他药用植物组合使用，浆果用于治疗胸痛，叶片用于治疗蛇和昆虫的叮咬，果实和根治疗胃痛，根用于解毒，树皮用于治疗疟疾，浆果还能治疗夜盲症和牙齿感染。Lu（1986）记载，在中国发现该物种的根含生物碱，可用于散淤血，缓解疼痛，减轻咳嗽。果实具祛痰和止痛的功效。刺茄和茄子间作可用于抗假单胞菌、根结线虫属、轮枝菌属、根串珠霉属烟草黑胫病菌、疫霉菌和茄镰刀菌复合体。它还能抗茄二十八星瓢虫，但对炭疽病菌易感。","自然扩散通过食用果实的鸟和蝙蝠，也可通过水流、土壤等传播。人为传播通过引种、农作物的调运。
长距离传播主要通过园艺贸易。植株本地扩散通过种子，它的种子依靠食用果实的鸟和蝙蝠，也可能通过车辆或污染土壤。","（1）物理方法：由于刺茄很难根除，因此新的分布地应尽早进行控制，防止进一步扩散。当小范围发生时可使用清除的方法，由于植株多刺，需注意安全。但根据巴布亚新几内亚的调查，机械控制方法（切断或拔除）不像化学方法那样有效。
（2）化学方法：可使用草甘膦进行处理。幼株（主茎基部直径0.5~1.0mm）也可使用50%的2,4-二氯苯氧乙酸丁酯（2,4-D丁酯）每亩50~70ml进行叶面喷洒，而成株（主茎基部直径1~6cm）和老的植株（主茎基部直径大于6cm），清除植株的上半部分，留下高度为10~15cm的草桩使用2,4,5-涕酸丁酯（2,4,5-T butyl ester）0.5%~1.0%水溶液喷洒可控制蔓延。
（3）其他方法：在美国夏威夷州发现，该物种的传播与来自分布区的设备或土壤有关。因此，对来自分布区的车辆和设备进行清洗有助于减少在毛伊岛的蔓延。",,169277,中国进境植物检疫性有害生物——杂草卷,52-54页,张希玲,2022-11-25 17:15:28.000,张希玲,2022-11-25 17:15:28.000,
